"id","experience_R","experience_datatable","usage_frequency","usage_context","usage_area","appreciate_most","biggest_challenges","desired_extra_functionality","satisfaction1_performance","satisfaction1_readability","satisfaction1_concise","satisfaction1_nonbreaking","satisfaction1_mindeps","satisfaction1_errors","satisfaction1_docs","importance_performance","importance_readability","importance_concise","importance_nonbreaking","importance_mindeps","importance_errors","importance_docs","satisfaction2_io","satisfaction2_filter","satisfaction2_reshape","satisfaction2_joins","satisfaction2_manip","pipe_helper_usefulness","walrus_alias","contribution_interest","contribution_areas_interest","contribution_areas_previous","contribution_easier","values_et_al","agreements_et_al","gov_docs_rolemodels","anything_else","responses_sharing"
219,"4 - 7 years","4 - 7 years","Occasionally","Professionally;","Data preparation;As a dependency in my R package(s);In Shiny apps;In production;","Concision, Programming Speed, Execution Speed",NA,NA,"Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very important","Very important","Important","Important","Not important at all","Important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
220,"7+ years","4 - 7 years","Every day","Professionally;","Data preparation;Statistical analysis;Machine learning;As a dependency in my R package(s);In production;","1. concise yet powerful syntax; 2.speed","worry about continued support for the package in the future","1.  large-than-RAM datasets; 2. support index larger than 2^32-1","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Somewhat important","Not important at all","Somewhat important","Not important at all","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Submitting requests for new features;Donating financially;","Spreading the word about data.table;","make it such that data.table can be a viable project financially by whatever means necessary. i want to pay!","e/acc","NA","NA","no",NA
221,"2 - 4 years","12 - 24 months","Every day","Academic research;","Statistical analysis;Data preparation;In Shiny apps;","Memory efficiency and fast calculations","Somehow, I still don't understand to properly use dcast",NA,"Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Extremely important","Very important","Somewhat important","Important","Not important at all","Very important","Extremely important","Neither satisfied nor dissatisfied","Very satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No",NA,NA,NA,NA,NA,NA,NA,NA
222,"4 - 7 years","4 - 7 years","Every day","Professionally;Academic research;","Data preparation;Statistical analysis;","< masked >","< masked >","< masked >","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Very important","Very important","Extremely important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me",":= is good enough","Maybe","Spreading the word about data.table;Reporting issues;Submitting R code;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
223,"3 - 12 months","0 - 3 months","Every week","As a student;","Statistical analysis;","combining tree with data","Tip labels detected in column: Species Phylo object detected   Error in xtfrm.data.frame(x) : cannot xtfrm data frames",NA,NA,"Somewhat dissatisfied",NA,NA,NA,"Very dissatisfied","Somewhat dissatisfied","Very important",NA,NA,NA,NA,NA,NA,"Somewhat dissatisfied","Somewhat dissatisfied",NA,NA,NA,NA,"let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reviewing R code;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
224,"7+ years","12 - 24 months","Every day","Professionally;Academic research;","Data preparation;Statistical analysis;In production;making maps (but link with sf could be imporved ;));","sober and powerfull synthax, fast, and no other dependencies than base R","using it for geographical data operations","Yes, it would be extraodinary powerfull if data.table was compatible with spatial operations (mainly sf package). If data.table now recognize the ""geom column"", using it for example for agregation (""DT[,.N,by=.(country,geom)]] make it bug as geom column is of type list. This is actually the only reason why I need to keep using dplyr which is well compatible with sf package.","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat dissatisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Submitting requests for new features;","Spreading the word about data.table;",NA,"free, copyleft, compatibility with spatial data",NA,NA,NA,NA
225,"7+ years","7+ years","Every week","Professionally;","Data preparation;","Conceise syntax","Readability when chaining, expression over multiple lines.","Allowing to specify the datatype for a single column in fread()","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Somewhat important","Important","Important","Very important","Somewhat dissatisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","No need for an alias","Maybe","Reporting issues;Giving talks/tutorials on data.table;","Spreading the word about data.table;Reporting issues;",NA,NA,NA,NA,"data.table makes my life better. I appreciate your work and commitment so much.",NA
226,"4 - 7 years","4 - 7 years","Every week","Professionally;","In production;Statistical analysis;","Speed and syntax simplicity",NA,"first and last function in C++ for more speed","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Very important","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Adding translations;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
227,"7+ years","2 - 4 years","Every day","Professionally;Academic research;","Data preparation;As a dependency in my R package(s);In Shiny apps;In production;",NA,NA,NA,"Very satisfied","Somewhat dissatisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Important","Extremely important","Important","Somewhat important","Somewhat important","Very important","Very important","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Donating financially;Spreading the word about data.table;Writing/editing documentation;Reviewing R code;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
228,"7+ years","7+ years","Every week","Professionally;Teaching;Side projects;","Data preparation;In production;In Shiny apps;Statistical analysis;","speed","getting to know the latest new functionality (as a result of time constraints)","extending the set of optimised aggregation functions (see also the collapse-package)","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Extremely important","Important","Very important","Extremely important","Very important","Very important","Very important","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Giving talks/tutorials on data.table;Writing/editing documentation;","Reporting issues;Submitting requests for new features;","creating free time in my work tasks (not easy, but I'm working on it)",NA,NA,NA,NA,NA
229,"7+ years","7+ years","Every day","Professionally;","Data preparation;Statistical analysis;In Shiny apps;In production;Publishing;","Syntax & speed","Having to compile it for Apple Silicon on Mac","Turn data.table syntax into SQL. I am more confident with data.table then SQL, so a translator would be great, gut Google Bard does a good job already","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very important","Extremely important","Very important","Extremely important","Important","Very important","Very important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","Reporting issues;Spreading the word about data.table;","Spreading the word about data.table;Giving talks/tutorials on data.table;","No. Just lack of time","Values: Clear, concise & fast. Principle: Limit dependencies. Objective: Keep backward compatible","How to resolve key men dependencies? What does data.table look like without Matt?",NA,"Many thanks for data.table!",NA
230,"4 - 7 years","2 - 4 years","Every day","Professionally;As a student;Side projects;Academic research;","Data preparation;In Shiny apps;In production;Statistical analysis;Machine learning;","Fast and reliable, clear and easy to use",NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
231,"7+ years","4 - 7 years","Every day","Academic research;","Data preparation;As a dependency in my R package(s);","< masked >","< masked >","< masked >","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Very important","Very important","Extremely important","Very important","Very important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","Spreading the word about data.table;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
232,"2 - 4 years","0 - 3 months","Every day","Academic research;","Data preparation;Statistical analysis;","Column = variable, as in Stata. Speed!","Complex coding (compared to dplyr pipes)","Parallelling on Mac (not your fault)","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Important","Very important","Very important","Somewhat important","Somewhat important","Important","Very important","Somewhat dissatisfied","Very satisfied",NA,NA,"Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,"Thank you!",NA
233,"4 - 7 years","4 - 7 years","Every week","Professionally;Side projects;","Data preparation;Statistical analysis;","Performance","Learning data.table after coming to R via the tidyverse was challenging. Now, as an experienced data.table user I mostly get stuck on advanced topics where documentation is incomplete, or outdated  (e.g. no vignette on joins, and the extensive manual doesn't cover some examples).","More GForce optimized functions","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Somewhat important","Somewhat important","Somewhat important","Important","Extremely important","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;","Spreading the word about data.table;Reporting issues;",NA,NA,NA,NA,"data.tabla has helped me in my work tremendously, especially in data preparation with grouped operations on large panel datasets. At first, I was sceptical on the syntax -- coming from the Tidyverse -- but it grew on me and now I even like the syntax, not just the performance.",NA
234,"7+ years","4 - 7 years","Every week","Academic research;","Data preparation;","FAST!","Syntax","sure","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
235,"4 - 7 years","2 - 4 years","Every day","Academic research;","Data preparation;","For me, it's speed, lack of dependency, stability, and intuitive syntax.","At the moment, I don't have any challenges. Initially, I was writing functions primarily for base R data frames because subsetting in data.table was not working as expected. One function does not work for both because data.table used to require `with=FALSE` when column names or numbers were used.","I still use some functions from the tidyverse packages. For example, parsing numbers from text with `readr::parse_number`. It would be nice if `data.table` could add some features in areas like these. Additionally, I think it would be nice if the `patterns` function used in `melt` worked inside `setnames` and `DT[, , lapply(.SD, fun), .SDcols=patterns(""*_num"")]`, without specifying `cols=names(DT)`.","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Not important at all","Not important at all","Not important at all","Not important at all","Not important at all","Not important at all","Not important at all",NA,"Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","Donating financially;Spreading the word about data.table;Submitting requests for new features;","Spreading the word about data.table;",NA,NA,NA,NA,"I am grateful to the developers of `data.table`. Learning it not only unlocked its great power, but also improved my understanding of R. I am a big fan and regularly follow the development news and commits. I eagerly anticipate the release of the dev version on CRAN. Additionally, I believe it would be beneficial to seek financial support from the community for the development of `data.table`.",NA
236,"7+ years","4 - 7 years","Occasionally","Professionally;Academic research;Side projects;","Data preparation;","Speed","Syntax","Yes","Somewhat satisfied","Very dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Extremely important","Extremely important","Somewhat important","Not important at all","Not important at all","Very important","Extremely important","Very satisfied","Somewhat satisfied","Somewhat dissatisfied","Very satisfied","Somewhat satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Giving talks/tutorials on data.table;","I haven't contributed to data.table yet;","Lots of code comments. Like, 80% comments, 20% code.",NA,NA,NA,"The more data.table and the tidyverse play nice, the better. Out of memory and xarray/dask-like functionality would also be amazing.",NA
237,"7+ years","4 - 7 years","Occasionally","Professionally;Academic research;Side projects;","Data preparation;Statistical analysis;In Shiny apps;","Fast",NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very important","Very important","Very important","Very important","Very important","Very important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Writing/editing documentation;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
238,"4 - 7 years","12 - 24 months","Every month","Professionally;Side projects;","As a dependency in my R package(s);Data preparation;In Shiny apps;In production;","Performance improvements","Syntax, difficulty to learn, behaviours that do not align with general R user expectations, difficulty to read and understand code",NA,"Very satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Very dissatisfied","Very important","Very important","Somewhat important","Very important","Important","Very important","Very important","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Very useful to me","mutate","Maybe","Reporting issues;Submitting requests for new features;Reviewing R code;Writing/editing documentation;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
239,"4 - 7 years","2 - 4 years","Occasionally","Professionally;","Statistical analysis;Data preparation;","To manipulate big data like census",NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Important","Important","Important","Important","Important","Important","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;Adding translations;","Not yet ;",NA,"Community",NA,NA,"No",NA
240,"7+ years","7+ years","Every day","Professionally;","Data preparation;","fread and fwrite",NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very important","Somewhat important","Very important","Important","Somewhat important","Extremely important","Extremely important","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me",NA,"No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
241,"7+ years","2 - 4 years","Occasionally","Academic research;","Statistical analysis;","the speed","I would say trying to combine a functional style with pipes and the data.table syntax can look quite awkward and sometimes hard to read","maybe thought as to how pipes and maps would work with it.","Very satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Very important","Very important","Not important at all","Somewhat important","Somewhat important","Important","Important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;Spreading the word about data.table;Giving talks/tutorials on data.table;Submitting requests for new features;","Spreading the word about data.table;Giving talks/tutorials on data.table;",NA,"Speed and ability to deal with large data are the values which has given data.table its name, and that needs to be retained going forwards, but readability and making use of the functional advantages of R would benefit the project","no idea",NA,NA,NA
242,"4 - 7 years","0 - 3 months","Occasionally","Academic research;","Statistical analysis;","speed","syntax",NA,"Very satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very important","Extremely important","Extremely important","Extremely important","Very important","Very important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Submitting requests for new features;Reviewing R code;Reporting issues;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
243,"7+ years","4 - 7 years","Every day","Academic research;Professionally;Side projects;Teaching;","Data preparation;Machine learning;In Shiny apps;Statistical analysis;","Syntax is great, and it is very fast.","No major challenges. A bit of a learning curve in the beginning.",NA,"Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Extremely important","Very important","Very important","Very important","Very important","Very important","Very important","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;","Spreading the word about data.table;Giving talks/tutorials on data.table;",NA,NA,NA,NA,NA,NA
244,"4 - 7 years","2 - 4 years","Every week","Professionally;Side projects;","As a dependency in my R package(s);Data preparation;","< masked >","< masked >","< masked >","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Very important","Important","Very important","Very important","Important","Important","Very satisfied","Very satisfied","Very satisfied","Very dissatisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","Giving talks/tutorials on data.table;Spreading the word about data.table;Submitting requests for new features;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
245,"7+ years","7+ years","Every day","Professionally;","Data preparation;In production;In Shiny apps;","speed. And concise syntax","keeping up with development",NA,"Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Important","Important","Extremely important","Extremely important","Somewhat important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;Submitting requests for new features;","Spreading the word about data.table;Reporting issues;",NA,NA,NA,NA,NA,NA
246,"7+ years","4 - 7 years","Occasionally","Academic research;Professionally;","Data preparation;As a dependency in my R package(s);","Speed of course","The extremely hard to read syntax (yes, if you’ve not been using it for months already, it’s very very hard to read (","A clearer API","Very satisfied","Very dissatisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Extremely important","Very important","Not important at all","Not important at all","Important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;Writing/editing documentation;","I haven't contributed to data.table yet;",NA,"I would not make it too bureaucratic, it will perhaps hinder people from collaborating","Just admin, software dev, software tester, doc editor",NA,NA,NA
247,"7+ years","7+ years","Every day","Professionally;","Data preparation;Statistical analysis;As a dependency in my R package(s);","Speed incl parallelization, concise coding style, update by reference, various useful helpers like .I, .SD etc, ease of joining",NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","Reporting issues;",NA,NA,NA,NA,"re:= alias, I think using ""set"" would be confusing as it's already got a separate data.table use outside of j component",NA
248,"7+ years","7+ years","Every day","Professionally;","Data preparation;In Shiny apps;In production;","Concise syntax. Speed.","Piping",NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Very important","Extremely important","Important","Important","Important","Important","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","I haven't contributed to data.table yet;",NA,"Just keep doing what you’ve been doing",NA,NA,NA,NA
249,"7+ years","4 - 7 years","Every week","Professionally;Side projects;","Data preparation;In Shiny apps;Statistical analysis;","< masked >","< masked >","< masked >","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely important","Extremely important","Very important","Extremely important","Very important","Very important","Extremely important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Writing/editing documentation;","Spreading the word about data.table;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
250,"4 - 7 years","2 - 4 years","Every day","Professionally;Side projects;","Data preparation;Statistical analysis;In production;","Speed (slowly loosing primat), syntax","Using with sf library","Prfect connection with sf library, additional improvment in speed","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very important","Extremely important","Extremely important","Important","Important","Very important","Very important","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No",NA,"Spreading the word about data.table;",NA,NA,NA,NA,"Data.table is one of the key feature of R",NA
251,"7+ years","7+ years","Every week","Professionally;Academic research;","Data preparation;In Shiny apps;As a dependency in my R package(s);","Speed","Larger than memory data sets","Being able to work with larger than memory data sets","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Extremely important","Extremely important","Very important","Very important","Extremely important","Very important","Very important","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Reporting issues;Submitting requests for new features;","Spreading the word about data.table;Reporting issues;Submitting requests for new features;","No really. My main bottleneck it the lack of time due to work projects","Lean and performant code developed by and for a diverse an inclusive community","I'm not familiar","I'm not familiar","No. just wanted to thank you for such a great package!",NA
252,"7+ years","3 - 12 months","Every week","Professionally;","Data preparation;","Handling of complex bases","Always think about the logic of pure programming","I'm in the basics, I still can't give an opinion","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Neither satisfied nor dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Very useful to me",NA,"Yes","Reporting issues;Adding translations;Spreading the word about data.table;","I haven't contributed to data.table yet;",NA,"Code structure and clarity, transparency and solutions",NA,"Participatory, Well-defined roles e Risk monitoring for Sustainability of the project",NA,NA
253,"2 - 4 years","2 - 4 years","Every day","Professionally;","Data preparation;In production;Data I/O and manipulation;","The syntax","Programming on the language",NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very important","Extremely important","Very important","Very important","Very important","Very important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Reporting issues;Reviewing R code;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
254,"2 - 4 years","2 - 4 years","Every month","Professionally;","Machine learning;Data preparation;Statistical analysis;","It speeds up analysis. I have found it useful for working with large datasets.","data.table operations do not have complete parity with base R, as a result, there is a bit of learning curve. However, once one is familiar with the esoteric aspects, the value of data.table is undeniable.","More R base functionality","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat dissatisfied","Extremely important","Very important","Important","Extremely important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Giving talks/tutorials on data.table;Writing/editing documentation;","I haven't contributed to data.table yet;",NA,NA,NA,NA,"data.table is an incredible package and has honestly enhanced the quality of my analysis.",NA
255,"7+ years","12 - 24 months","Every day","Professionally;Academic research;Side projects;","Data preparation;Statistical analysis;As a dependency in my R package(s);In production;","< masked >","< masked >","< masked >","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Important","Extremely important","Very important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat dissatisfied","Very satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","Spreading the word about data.table;","Spreading the word about data.table;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
256,"4 - 7 years","2 - 4 years","Every day","Academic research;Teaching;Professionally;","Data preparation;Statistical analysis;Machine learning;","Fast, memory-efficient, code readability, and concise syntax","Not much..","Yes","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Extremely important","Extremely important","Extremely important","Important","Important","Very important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;Reviewing R code;Writing/editing documentation;","I haven't contributed to data.table yet;",NA,"Speed, memory-efficiency for handling large volume of data",NA,NA,"First of all, marketing is needed just as POSIT does for tidyverse, tidymodels, ggplot2 and so on. I think data.table is way better than tidyverse packages, thus many people could find and use the data.table when they first start to learn and use R.",NA
257,"0 - 3 months","0 - 3 months","Every week","As a student;","Data preparation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
